Province,City,Monitoring_Station,Latitude,Longitude,Date,Water_Temperature_C,pH,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,Turbidity_NTU,Nitrate_mg_L,Nitrite_mg_L,Ammonia_N_mg_L,Total_Phosphorus_mg_L,Total_Nitrogen_mg_L,COD_mg_L,BOD_mg_L,Heavy_Metals_Pb_ug_L,Heavy_Metals_Cd_ug_L,Heavy_Metals_Hg_ug_L,Coliform_Count_CFU_100mL,Water_Quality_Index,Pollution_Level
Zhejiang,Ningbo,Ningbo_Station_2,25.523836,122.622036,2023-06-01,22.48,6.93,9.3,652.3,0.85,2.14,0.020770809024787167,0.496349043481121,0.10709731920040029,2.71,15.38,1.39,6.970751069570841,0.6860885620117188,0.019397258758544922,87,36.64,Very Poor
Sichuan,Mianyang,Mianyang_Station_1,32.243099,112.88876,2023-03-05,27.33,6.89,8.14,357.53,4.49,2.06,0.01890711804798506,0.5197045689937526,0.09774507124683135,3.15,16.82,2.98,4.601820689901852,0.395477294921875,0.1009531021118164,116,66.25,Excellent
Zhejiang,Ningbo,Ningbo_Station_8,29.996179,124.744859,2023-07-13,21.04,6.02,5.34,519.69,17.46,2.11,0.019123998403645166,0.43161797350070885,0.10433456460413616,3.39,17.31,2.65,2.9440297780358335,0.2891998291015625,0.10444831848144531,110,98.69,Poor
Beijing,Beijing,Beijing_Station_10,29.976437,118.274846,2023-02-17,16.62,7.31,10.06,593.13,7.38,1.9,0.023292093107010803,0.48825536307147727,0.10146952699461025,2.91,17.95,5.18,3.341225175094939,0.6744461059570312,0.10859203338623047,99,71.32,Poor
Sichuan,Chengdu,Chengdu_Station_1,43.52472,121.666111,2023-03-06,21.81,7.77,7.93,656.46,3.7,1.8,0.021588097012079026,0.47762924018486225,0.10904953896469523,3.45,20.1,3.47,1.768020069357413,0.3115234375,0.13872528076171875,82,16.12,Excellent
Zhejiang,Ningbo,Ningbo_Station_8,43.90478,101.988752,2023-07-29,24.58,7.16,6.94,551.33,11.15,2.69,0.021467709940473804,0.5577565659557102,0.11554306091413968,2.87,18.16,5.27,4.497560648120687,6.539520263671875,0.11742019653320312,91,33.76,Moderate
Yunnan,Dali,Dali_Station_6,22.115434,109.771096,2023-05-07,19.19,7.2,11.77,517.46,2.26,1.99,0.019865584253174414,0.472488568760262,0.11338896977185935,3.05,17.84,3.34,5.031749404767436,0.6265869140625,0.09334182739257812,92,48.95,Excellent
Yunnan,Dali,Dali_Station_9,35.938674,106.044997,2023-12-12,25.71,7.38,9.58,409.06,2.29,2.7,0.020147805578491978,0.4980695182213034,0.11190567713670799,2.75,24.62,5.71,6.705198752147478,0.52056884765625,0.081329345703125,91,17.44,Excellent
Jiangsu,Nanjing,Nanjing_Station_9,43.507463,100.585848,2023-03-02,15.4,7.77,6.43,467.79,12.93,1.82,0.02131191406896474,0.5375736181502588,0.12037075160900082,3.68,32.7,3.68,4.184891492442677,0.24359130859375,0.16016769409179688,95,89.71,Good
Shandong,Jinan,Jinan_Station_4,36.336582,104.53814,2023-04-29,21.25,7.17,6.64,523.23,0.88,2.11,0.01991489351904078,0.524923054801357,0.10479388664748406,3.52,26.63,4.73,2.864723172154185,0.368133544921875,0.04371452331542969,108,84.92,Moderate
