Province,City,Monitoring_Station,Latitude,Longitude,Date,Water_Temperature_C,pH,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,Turbidity_NTU,Nitrate_mg_L,Nitrite_mg_L,Ammonia_N_mg_L,Total_Phosphorus_mg_L,Total_Nitrogen_mg_L,COD_mg_L,BOD_mg_L,Heavy_Metals_Pb_ug_L,Heavy_Metals_Cd_ug_L,Heavy_Metals_Hg_ug_L,Coliform_Count_CFU_100mL,Water_Quality_Index,Pollution_Level
Zhejiang,Ningbo,Ningbo_Station_2,25.523836,122.622036,2023-06-01,22.48,6.93,9.3,652.3,0.85,2.14,0.03903345027341186,0.23947506092115747,0.1597647100615546,2.71,15.38,1.39,0.0,0.8606032839450797,0.16854486829789225,87,36.64,Very Poor
Sichuan,Mianyang,Mianyang_Station_1,32.243099,112.88876,2023-03-05,27.33,6.89,8.14,357.53,4.49,2.06,0.026914230461592636,0.2556968427824649,0.1841744287118134,3.15,16.82,2.98,1.695378231693673,0.0972120037070098,0.008870862421183706,116,66.25,Excellent
Zhejiang,Ningbo,Ningbo_Station_8,29.996179,124.744859,2023-07-13,21.04,6.02,5.34,519.69,17.46,2.11,0.017894031488730477,0.7658518969868925,0.07716700334684057,3.39,17.31,2.65,16.32222455259161,1.8133313262331576,0.6113229481284466,110,98.69,Poor
Beijing,Beijing,Beijing_Station_10,29.976437,118.274846,2023-02-17,16.62,7.31,10.06,593.13,7.38,1.9,0.029856945614313752,0.11874202106736466,0.14935980085481013,2.91,17.95,5.18,9.403633919567291,0.1717538114395898,0.0,99,71.32,Poor
Sichuan,Chengdu,Chengdu_Station_1,43.52472,121.666111,2023-03-06,21.81,7.77,7.93,656.46,3.7,1.8,0.02346572549238099,1.0481976707361362,0.0,3.45,20.1,3.47,0.705811622577935,0.031676980522692966,0.0,82,16.12,Excellent
Zhejiang,Ningbo,Ningbo_Station_8,43.90478,101.988752,2023-07-29,24.58,7.16,6.94,551.33,11.15,2.69,0.023518905154138896,0.17077041739516427,0.1884631011943748,2.87,18.16,5.27,0.0,0.15555819328044074,0.218314893764229,91,33.76,Moderate
Yunnan,Dali,Dali_Station_6,22.115434,109.771096,2023-05-07,19.19,7.2,11.77,517.46,2.26,1.99,0.027093343672850646,0.6733507921582217,0.01879870320378741,3.05,17.84,3.34,17.540382769413633,1.0773805872217583,0.2056537191763525,92,48.95,Excellent
Yunnan,Dali,Dali_Station_9,35.938674,106.044997,2023-12-12,25.71,7.38,9.58,409.06,2.29,2.7,0.020727800212874205,0.6133392795755648,0.08993935579210348,2.75,24.62,5.71,0.0,0.3451108753175979,0.0,91,17.44,Excellent
Jiangsu,Nanjing,Nanjing_Station_9,43.507463,100.585848,2023-03-02,15.4,7.77,6.43,467.79,12.93,1.82,0.024004013385501927,0.7093071153773427,0.08683549922755385,3.68,32.7,3.68,22.417275480529067,0.4588507385048277,0.0,95,89.71,Good
Shandong,Jinan,Jinan_Station_4,36.336582,104.53814,2023-04-29,21.25,7.17,6.64,523.23,0.88,2.11,0.029128761199001634,1.0718743852938193,0.026365092102658628,3.52,26.63,4.73,10.28824454257636,0.8302998285800856,0.5260094572453888,108,84.92,Moderate
Zhejiang,Ningbo,Ningbo_Station_1,44.548434,106.519985,2023-09-15,24.11,7.95,7.51,424.63,1.54,2.44,0.012148548977107836,0.17627779974567134,0.076239178422372,4.37,20.47,2.59,6.194787219085178,0.15623898808743542,0.13663508111085093,96,92.83,Very Poor
Shandong,Qingdao,Qingdao_Station_9,30.253306,114.157183,2023-12-28,22.37,6.96,6.31,348.52,9.52,1.54,0.011005219803608583,0.6661438766924505,0.04885326860449444,3.32,28.81,4.23,0.0,0.12357114957436366,0.0,107,70.25,Moderate
Zhejiang,Ningbo,Ningbo_Station_7,25.694385,115.051176,2023-08-22,13.11,6.53,9.03,551.38,10.09,2.01,0.0025617857278684504,0.22765335440729767,0.183501042334291,3.67,24.94,4.23,5.761092961390363,0.2355648579810885,0.057176114286093434,84,3.59,Excellent
Henan,Luoyang,Luoyang_Station_6,32.368152,115.077808,2023-10-21,31.57,6.07,9.37,338.73,0.15,1.55,0.014138792199212147,0.6690658460740425,0.04817789707034061,3.27,13.65,6.39,14.856058924177262,0.2872226745836407,0.0,95,27.08,Moderate
Yunnan,Dali,Dali_Station_1,30.094647,108.685749,2023-04-28,16.04,6.94,9.01,586.58,2.63,1.83,0.019817978375250164,0.2407124056573191,0.13517809342044979,3.47,26.33,4.38,0.0,0.15669332428846994,0.08397043302474658,92,75.78,Very Poor
Zhejiang,Hangzhou,Hangzhou_Station_4,37.44114,101.120714,2023-03-07,22.22,7.39,6.15,494.05,3.38,1.35,0.02188401013943073,0.6001478493319463,0.06909220537175793,3.77,26.62,3.87,11.849806757754303,0.0,0.0,112,16.29,Poor
Zhejiang,Ningbo,Ningbo_Station_9,28.245944,106.644102,2023-09-16,21.0,6.7,8.14,461.47,14.09,1.05,0.020083407519833542,0.641282588745134,0.07965388378114716,3.34,20.35,4.44,2.7685426253269316,0.35639863695960683,0.0,95,2.33,Moderate
Hubei,Yichang,Yichang_Station_7,43.396203,111.066512,2023-03-24,17.05,7.42,8.71,430.71,4.96,2.18,0.01990368207023872,0.8240475580902586,0.11261270646355462,3.28,16.45,2.21,18.553854564165146,0.892975343760741,0.09833237911221629,98,75.45,Moderate
Guangdong,Shenzhen,Shenzhen_Station_1,28.866637,118.733761,2023-04-09,26.53,7.01,9.36,468.97,2.46,1.86,0.03222605438094579,0.5514575855383327,0.08314814853686546,2.1,17.77,5.2,0.0,0.0,0.0,109,49.44,Very Poor
Beijing,Beijing,Beijing_Station_5,34.324844,107.56774,2023-08-16,20.38,6.66,9.95,485.29,2.16,2.31,0.02145675527131738,0.44227784953660176,0.13067138745651874,3.28,24.36,5.15,0.0,0.4205981285715382,0.0,83,55.84,Very Poor
Sichuan,Mianyang,Mianyang_Station_3,33.93337,105.833492,2023-11-01,24.29,6.92,7.96,399.75,0.06,1.66,0.01729933593554798,0.15767531603818008,0.18541399725329474,3.25,20.44,2.55,0.0,0.0,0.0,127,96.99,Good
Beijing,Beijing,Beijing_Station_6,30.601632,114.818788,2023-01-26,21.12,7.01,8.2,422.7,17.42,3.14,0.007782127755421243,0.5207366781834617,0.04603203851655244,3.6,29.08,3.89,1.1933401918463733,0.0,0.0,90,35.34,Excellent
Zhejiang,Hangzhou,Hangzhou_Station_1,28.448851,106.930824,2023-06-26,16.2,7.08,8.68,687.62,1.85,2.29,0.02122487976272463,0.6431938731793034,0.07308987326339225,3.35,19.34,3.93,3.0564476879993343,0.6516492785091677,0.0,111,46.87,Poor
