Province,City,Monitoring_Station,Latitude,Longitude,Date,Water_Temperature_C,pH,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,Turbidity_NTU,Nitrate_mg_L,Nitrite_mg_L,Ammonia_N_mg_L,Total_Phosphorus_mg_L,Total_Nitrogen_mg_L,COD_mg_L,BOD_mg_L,Heavy_Metals_Pb_ug_L,Heavy_Metals_Cd_ug_L,Heavy_Metals_Hg_ug_L,Coliform_Count_CFU_100mL,Water_Quality_Index,Pollution_Level
Zhejiang,Ningbo,Ningbo_Station_2,25.523836,122.622036,2023-06-01,22.48,6.93,9.3,652.3,0.85,2.14,0.020706130553358244,0.48050304725844545,0.10575351456325753,2.71,15.38,1.39,4.900784330114756,0.5019683775798562,0.10589468453516093,87,36.64,Very Poor
Sichuan,Mianyang,Mianyang_Station_1,32.243099,112.88876,2023-03-05,27.33,6.89,8.14,357.53,4.49,2.06,0.020137284053230235,0.5128172324859952,0.10484140851033766,3.15,16.82,2.98,5.0729528552344005,0.5055815866012198,0.10262717531517884,116,66.25,Excellent
Zhejiang,Ningbo,Ningbo_Station_8,29.996179,124.744859,2023-07-13,21.04,6.02,5.34,519.69,17.46,2.11,0.018557683512907666,0.4762096337198578,0.10288664555584297,3.39,17.31,2.65,5.039999520817385,0.5260223212897591,0.10827079320510258,110,98.69,Poor
Beijing,Beijing,Beijing_Station_10,29.976437,118.274846,2023-02-17,16.62,7.31,10.06,593.13,7.38,1.9,0.020902455088840612,0.5045166676445128,0.10555367673709638,2.91,17.95,5.18,5.077300509769359,0.5064950956018166,0.1018033218933524,99,71.32,Poor
Sichuan,Chengdu,Chengdu_Station_1,43.52472,121.666111,2023-03-06,21.81,7.77,7.93,656.46,3.7,1.8,0.021099865726650957,0.5108394507946291,0.09892816385172014,3.45,20.1,3.47,5.0645717603572376,0.4911845819963517,0.1011267695638034,82,16.12,Excellent
Zhejiang,Ningbo,Ningbo_Station_8,43.90478,101.988752,2023-07-29,24.58,7.16,6.94,551.33,11.15,2.69,0.02099476508288312,0.530511337952608,0.11197362985465872,2.87,18.16,5.27,5.305695821037046,0.4755817261795471,0.1044999689637025,91,33.76,Moderate
Yunnan,Dali,Dali_Station_6,22.115434,109.771096,2023-05-07,19.19,7.2,11.77,517.46,2.26,1.99,0.019937568918895827,0.5056868837168971,0.10646303587300207,3.05,17.84,3.34,4.962449161899187,0.5122617793741585,0.10098106007827423,92,48.95,Excellent
Yunnan,Dali,Dali_Station_9,35.938674,106.044997,2023-12-12,25.71,7.38,9.58,409.06,2.29,2.7,0.020595177065010524,0.4939254285662344,0.10262820757041446,2.75,24.62,5.71,5.081733365308543,0.5101772119859992,0.10145593619516946,91,17.44,Excellent
Jiangsu,Nanjing,Nanjing_Station_9,43.507463,100.585848,2023-03-02,15.4,7.77,6.43,467.79,12.93,1.82,0.02081890388851087,0.5364308448955216,0.1133160098831658,3.68,32.7,3.68,5.301955142900585,0.47793198127666486,0.10502875699707048,95,89.71,Good
Shandong,Jinan,Jinan_Station_4,36.336582,104.53814,2023-04-29,21.25,7.17,6.64,523.23,0.88,2.11,0.02055059451892673,0.4935533431081137,0.10274554348324529,3.52,26.63,4.73,5.041736831716488,0.5085287733253626,0.10093977398887133,108,84.92,Moderate
Zhejiang,Ningbo,Ningbo_Station_1,44.548434,106.519985,2023-09-15,24.11,7.95,7.51,424.63,1.54,2.44,0.020037910013526273,0.5130996643912911,0.10687382660609775,4.37,20.47,2.59,5.181902037920276,0.4762401578331598,0.10261889152001635,96,92.83,Very Poor
Shandong,Qingdao,Qingdao_Station_9,30.253306,114.157183,2023-12-28,22.37,6.96,6.31,348.52,9.52,1.54,0.020643655531027774,0.5145597181273917,0.10583756523208884,3.32,28.81,4.23,5.029529156651009,0.5008025311045667,0.1031847164070413,107,70.25,Moderate
Zhejiang,Ningbo,Ningbo_Station_7,25.694385,115.051176,2023-08-22,13.11,6.53,9.03,551.38,10.09,2.01,0.020412653896922445,0.5093300215864848,0.10648990333689513,3.67,24.94,4.23,4.884009216697338,0.4916266865171517,0.1040834225005749,84,3.59,Excellent
Henan,Luoyang,Luoyang_Station_6,32.368152,115.077808,2023-10-21,31.57,6.07,9.37,338.73,0.15,1.55,0.020325821105999387,0.5123266662664887,0.10517858769018805,3.27,13.65,6.39,5.082655749732711,0.5069310795298746,0.10144971685756576,95,27.08,Moderate
Yunnan,Dali,Dali_Station_1,30.094647,108.685749,2023-04-28,16.04,6.94,9.01,586.58,2.63,1.83,0.020692592459080388,0.5135094588214071,0.10343627634838996,3.47,26.33,4.38,5.009222868457176,0.5080778414581515,0.10360647843072857,92,75.78,Very Poor
Zhejiang,Hangzhou,Hangzhou_Station_4,37.44114,101.120714,2023-03-07,22.22,7.39,6.15,494.05,3.38,1.35,0.01935477582233798,0.5016367267725125,0.10460868047034902,3.77,26.62,3.87,4.931434848505234,0.5026742893419722,0.10040185128232038,112,16.29,Poor
Zhejiang,Ningbo,Ningbo_Station_9,28.245944,106.644102,2023-09-16,21.0,6.7,8.14,461.47,14.09,1.05,0.021259355636763615,0.5157909147741455,0.10314317437370439,3.34,20.35,4.44,4.986456767639822,0.5132343852543786,0.10230847664402454,95,2.33,Moderate
Hubei,Yichang,Yichang_Station_7,43.396203,111.066512,2023-03-24,17.05,7.42,8.71,430.71,4.96,2.18,0.020412486120399864,0.5005133385713397,0.10213106539862478,3.28,16.45,2.21,5.0166896487301536,0.4897362494734404,0.10074262013929092,98,75.45,Moderate
Guangdong,Shenzhen,Shenzhen_Station_1,28.866637,118.733761,2023-04-09,26.53,7.01,9.36,468.97,2.46,1.86,0.020999771519338333,0.5016713950623072,0.10576012676822005,2.1,17.77,5.2,5.0536121966360374,0.5039873831303676,0.10244324487452727,109,49.44,Very Poor
Beijing,Beijing,Beijing_Station_5,34.324844,107.56774,2023-08-16,20.38,6.66,9.95,485.29,2.16,2.31,0.020334806098708566,0.49938399580577725,0.10243766367503043,3.28,24.36,5.15,5.0858420486688285,0.511419251676232,0.10212419976817078,83,55.84,Very Poor
Sichuan,Mianyang,Mianyang_Station_3,33.93337,105.833492,2023-11-01,24.29,6.92,7.96,399.75,0.06,1.66,0.020540553383213724,0.49847269216035617,0.10173468847267839,3.25,20.44,2.55,5.032651804407146,0.5120564104413863,0.10141532887134308,127,96.99,Good
Beijing,Beijing,Beijing_Station_6,30.601632,114.818788,2023-01-26,21.12,7.01,8.2,422.7,17.42,3.14,0.020676074494914508,0.5136698378727836,0.1058134408532357,3.6,29.08,3.89,5.045511961219007,0.5019786767918661,0.10264599950597797,90,35.34,Excellent
Zhejiang,Hangzhou,Hangzhou_Station_1,28.448851,106.930824,2023-06-26,16.2,7.08,8.68,687.62,1.85,2.29,0.021192655045863745,0.515572991294789,0.10319423192496913,3.35,19.34,3.93,4.986194308015699,0.5124710810471361,0.10257786973012917,111,46.87,Poor
Sichuan,Mianyang,Mianyang_Station_4,21.767467,124.428567,2023-04-18,12.03,6.7,8.01,504.7,7.33,1.84,0.021481365029137518,0.47144303337656734,0.10648905856787612,3.53,27.71,3.17,4.655330905625791,0.49034744821258003,0.10676120231429154,108,85.22,Good
Guangdong,Guangzhou,Guangzhou_Station_10,41.963126,116.820089,2023-07-07,30.3,7.88,7.5,597.16,0.72,2.74,0.020587398519618137,0.5015295221499729,0.09945777104189922,2.13,27.22,4.89,4.9200450423301145,0.5015231007593768,0.09905138375336842,109,62.21,Very Poor
Guangdong,Shenzhen,Shenzhen_Station_9,39.361329,101.608317,2023-12-03,11.48,6.97,8.77,496.73,3.39,2.56,0.020388045041488997,0.5055472744916246,0.10664088210045118,2.45,22.44,4.75,5.0534817636645615,0.4960617008808161,0.10140382623121735,89,4.09,Very Poor
Henan,Zhengzhou,Zhengzhou_Station_9,41.649875,112.391598,2023-09-25,17.35,6.6,7.79,396.48,1.16,2.03,0.020948088138976976,0.4978224340579084,0.10192890034047397,3.26,26.02,4.85,5.010476754447014,0.4997246439993311,0.10034693435029274,91,48.45,Poor
Hubei,Yichang,Yichang_Station_5,28.35643,110.978065,2023-08-05,12.42,7.68,11.29,475.1,0.19,2.43,0.020523285348736896,0.5167689041517567,0.10542875131193495,2.51,20.4,5.52,4.962169440907544,0.5021591265247708,0.1047669166118772,96,32.21,Poor
Guangdong,Guangzhou,Guangzhou_Station_8,26.856036,104.584787,2023-06-05,16.77,6.46,11.37,588.16,7.78,1.56,0.021543569221483736,0.5174885158229635,0.10278218127003697,2.78,27.91,3.61,5.011021659299976,0.5172777542089939,0.0999650276307551,102,98.65,Excellent
Yunnan,Dali,Dali_Station_7,42.71605,101.869134,2023-01-12,13.01,7.28,6.7,451.29,1.03,1.59,0.021321429103054707,0.5226708313874769,0.11068513595933645,3.2,19.58,4.24,5.242492374380844,0.48110019419964256,0.10353710475797473,102,28.0,Excellent
Zhejiang,Ningbo,Ningbo_Station_3,39.123203,115.35914,2023-10-25,16.69,7.29,6.47,319.51,3.54,1.77,0.02030284640875807,0.5020219643182292,0.10197663305194189,2.43,21.34,6.78,5.007662153058127,0.5104283937610916,0.09937845821988645,87,99.0,Moderate
Beijing,Beijing,Beijing_Station_7,41.566757,118.723211,2023-05-02,25.03,6.71,9.67,387.03,7.14,1.64,0.020558867520667094,0.5026162448538624,0.09935059439944474,3.08,20.45,4.49,4.9452077876362495,0.5035759537300518,0.09900391547914134,109,16.37,Very Poor
Sichuan,Chengdu,Chengdu_Station_9,28.681149,103.542698,2023-11-13,21.97,6.79,8.58,707.54,2.22,1.86,0.021625919493889863,0.5142558061594387,0.10143174912731426,2.66,8.85,5.05,4.937738870850112,0.5157400904702101,0.09918627867772312,115,54.36,Poor
Yunnan,Kunming,Kunming_Station_8,40.381768,110.062302,2023-07-23,21.18,7.39,5.04,614.38,0.75,2.25,0.021331920371355215,0.4949737403770276,0.1036399153957673,2.76,22.02,2.91,5.098290800268298,0.5022915324877244,0.10116426845195559,113,82.13,Poor
Henan,Luoyang,Luoyang_Station_2,24.801898,121.950265,2023-02-26,18.65,6.51,7.11,537.73,1.3,2.48,0.020950255205940557,0.4829712249356486,0.10571225694159142,2.18,21.4,2.94,4.886280659837475,0.49642246237217535,0.10488772121518031,97,94.73,Good
Shandong,Qingdao,Qingdao_Station_7,27.949988,103.22426,2023-10-30,21.4,6.44,12.89,512.92,0.09,2.89,0.0216424228552363,0.5160513658201953,0.10160930897420806,3.13,14.3,2.66,4.9528522898491945,0.5161621790895821,0.09873762480207926,118,11.32,Very Poor
Shanghai,Shanghai,Shanghai_Station_1,41.821983,102.193845,2023-01-24,20.28,7.55,4.62,652.96,0.28,2.54,0.02141943802159074,0.515178714526911,0.10925867559532526,2.89,23.14,5.27,5.194368295811619,0.48541820234275085,0.1027468979509436,99,17.64,Moderate
Jiangsu,Suzhou,Suzhou_Station_4,40.204767,103.719794,2023-04-02,6.52,6.97,7.54,569.62,4.34,1.49,0.021551436420301915,0.500868027865818,0.10636058518868809,3.0,20.79,3.32,5.137294683188092,0.4942935951975468,0.10164733629870915,115,19.07,Very Poor
Jiangsu,Nanjing,Nanjing_Station_9,25.671504,121.03869,2023-12-15,19.84,6.73,6.57,510.64,7.47,2.69,0.020931260461024313,0.48788392966479505,0.10568965943984464,2.41,21.02,4.29,4.939803558726913,0.49772097912976954,0.10419237755704736,93,40.87,Excellent
Beijing,Beijing,Beijing_Station_4,30.785867,105.186028,2023-08-20,24.68,7.64,9.44,387.09,0.1,2.05,0.02121640680767947,0.5083931563131243,0.10137555203476868,2.82,18.85,4.81,4.964414383395637,0.5135701978755796,0.10098430279493886,97,20.5,Poor
Shanghai,Shanghai,Shanghai_Station_8,24.591588,121.321029,2023-12-24,22.97,6.85,8.65,374.89,2.74,1.38,0.021005057538632944,0.4855549060015799,0.1056021388892907,3.38,12.93,5.25,4.889531437655925,0.493682705497023,0.10417009774111519,122,14.01,Good
Sichuan,Mianyang,Mianyang_Station_6,33.296476,111.897126,2023-07-11,19.81,7.55,8.23,515.03,2.77,3.08,0.01991748325820873,0.5097479022317323,0.10422131113500087,2.36,20.5,2.37,5.092853481622883,0.5080279160629261,0.10248084270600788,111,1.1,Excellent
Guangdong,Guangzhou,Guangzhou_Station_4,38.825218,108.347286,2023-06-14,21.28,7.49,11.33,601.44,0.96,1.92,0.021242764850670393,0.49312273658843286,0.10400427923297326,2.83,20.99,2.57,5.137101958716189,0.5056504644650777,0.1015752676994901,96,29.71,Very Poor
