Province,City,Monitoring_Station,Latitude,Longitude,Date,Water_Temperature_C,pH,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,Turbidity_NTU,Nitrate_mg_L,Nitrite_mg_L,Ammonia_N_mg_L,Total_Phosphorus_mg_L,Total_Nitrogen_mg_L,COD_mg_L,BOD_mg_L,Heavy_Metals_Pb_ug_L,Heavy_Metals_Cd_ug_L,Heavy_Metals_Hg_ug_L,Coliform_Count_CFU_100mL,Water_Quality_Index,Pollution_Level
Zhejiang,Ningbo,Ningbo_Station_2,25.523836,122.622036,2023-06-01,22.48,6.93,9.3,652.3,0.85,2.14,0.020217585433278243,0.5070902419260799,0.09671314920410946,2.71,15.38,1.39,5.567036456573051,0.48718273411303414,0.10325539112917426,87,36.64,Very Poor
Sichuan,Mianyang,Mianyang_Station_1,32.243099,112.88876,2023-03-05,27.33,6.89,8.14,357.53,4.49,2.06,0.018841205708194877,0.5209633395612748,0.08888745677785631,3.15,16.82,2.98,4.709487494892155,0.483927345320609,0.1030397745538636,116,66.25,Excellent
Zhejiang,Ningbo,Ningbo_Station_8,29.996179,124.744859,2023-07-13,21.04,6.02,5.34,519.69,17.46,2.11,0.01929475349642667,0.45703055767766854,0.09661151287154399,3.39,17.31,2.65,4.813688886837195,0.49933465393203846,0.06743160568888129,110,98.69,Poor
Beijing,Beijing,Beijing_Station_10,29.976437,118.274846,2023-02-17,16.62,7.31,10.06,593.13,7.38,1.9,0.025739479468424555,0.5128853155905267,0.10335368272994598,2.91,17.95,5.18,5.192581848979419,0.5160967656826188,0.09790879477996839,99,71.32,Poor
Sichuan,Chengdu,Chengdu_Station_1,43.52472,121.666111,2023-03-06,21.81,7.77,7.93,656.46,3.7,1.8,0.020422050922199567,0.44549995344816573,0.11847053071970397,3.45,20.1,3.47,4.650291764426886,0.5092938240783855,0.09858885693575559,82,16.12,Excellent
Zhejiang,Ningbo,Ningbo_Station_8,43.90478,101.988752,2023-07-29,24.58,7.16,6.94,551.33,11.15,2.69,0.02168697174147786,0.5909636877152374,0.1183962012747593,2.87,18.16,5.27,5.742462275521029,0.4030526521869362,0.10949020658404152,91,33.76,Moderate
Yunnan,Dali,Dali_Station_6,22.115434,109.771096,2023-05-07,19.19,7.2,11.77,517.46,2.26,1.99,0.019161241054302235,0.46828377335635984,0.11460934677278974,3.05,17.84,3.34,4.759180873866471,0.5360885073785013,0.1019381987408643,92,48.95,Excellent
Yunnan,Dali,Dali_Station_9,35.938674,106.044997,2023-12-12,25.71,7.38,9.58,409.06,2.29,2.7,0.02028527536407416,0.47556815184797835,0.11514242308380018,2.75,24.62,5.71,5.381468412762994,0.5333941059553737,0.11185759988169508,91,17.44,Excellent
Jiangsu,Nanjing,Nanjing_Station_9,43.507463,100.585848,2023-03-02,15.4,7.77,6.43,467.79,12.93,1.82,0.02179625589598776,0.5383782831164562,0.12469529278211226,3.68,32.7,3.68,4.929972901752628,0.5222234558983416,0.11254286029209482,95,89.71,Good
Shandong,Jinan,Jinan_Station_4,36.336582,104.53814,2023-04-29,21.25,7.17,6.64,523.23,0.88,2.11,0.019760445041760964,0.5289223073656878,0.11202443301046519,3.52,26.63,4.73,5.251006899925633,0.5059544340800102,0.10841167131325591,108,84.92,Moderate
Zhejiang,Ningbo,Ningbo_Station_1,44.548434,106.519985,2023-09-15,24.11,7.95,7.51,424.63,1.54,2.44,0.017020179755001693,0.4864633796793256,0.10403466451801607,4.37,20.47,2.59,4.595988965305858,0.4756156220901815,0.10329799676111406,96,92.83,Very Poor
Shandong,Qingdao,Qingdao_Station_9,30.253306,114.157183,2023-12-28,22.37,6.96,6.31,348.52,9.52,1.54,0.021108517376186135,0.46100843764256066,0.11818447701920183,3.32,28.81,4.23,4.310480413690206,0.4969864070830958,0.09486740876056388,107,70.25,Moderate
Zhejiang,Ningbo,Ningbo_Station_7,25.694385,115.051176,2023-08-22,13.11,6.53,9.03,551.38,10.09,2.01,0.019129280147049517,0.5211453183559198,0.1150696235870362,3.67,24.94,4.23,4.235191903989006,0.4506571408695166,0.10561500297159654,84,3.59,Excellent
