Province,City,Monitoring_Station,Latitude,Longitude,Date,Water_Temperature_C,pH,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,Turbidity_NTU,Nitrate_mg_L,Nitrite_mg_L,Ammonia_N_mg_L,Total_Phosphorus_mg_L,Total_Nitrogen_mg_L,COD_mg_L,BOD_mg_L,Heavy_Metals_Pb_ug_L,Heavy_Metals_Cd_ug_L,Heavy_Metals_Hg_ug_L,Coliform_Count_CFU_100mL,Water_Quality_Index,Pollution_Level
Zhejiang,Ningbo,Ningbo_Station_2,25.523836,122.622036,2023-06-01,22.48,6.93,9.3,652.3,0.85,2.14,0.02999999999988061,0.37999999999978107,0.07400000000032,2.71,15.38,1.39,6.899999999997055,0.6600000000015074,0.020000000000585078,87,36.64,Very Poor
Sichuan,Mianyang,Mianyang_Station_1,32.243099,112.88876,2023-03-05,27.33,6.89,8.14,357.53,4.49,2.06,0.014999999999968632,0.37999999999938716,0.1469999999998912,3.15,16.82,2.98,4.679999999995563,0.3900000000008568,0.100000000000128,116,66.25,Excellent
Zhejiang,Ningbo,Ningbo_Station_8,29.996179,124.744859,2023-07-13,21.04,6.02,5.34,519.69,17.46,2.11,0.02899999999994588,0.30000000000011057,0.021000000000343785,3.39,17.31,2.65,3.239999999993607,0.2700000000002206,0.11000000000046026,110,98.69,Poor
Beijing,Beijing,Beijing_Station_10,29.976437,118.274846,2023-02-17,16.62,7.31,10.06,593.13,7.38,1.9,0.01399999999996181,0.20000000000011942,0.15500000000058872,2.91,17.95,5.18,3.1999999999972446,0.6700000000016237,0.1100000000001865,99,71.32,Poor
Sichuan,Chengdu,Chengdu_Station_1,43.52472,121.666111,2023-03-06,21.81,7.77,7.93,656.46,3.7,1.8,0.018999999999945026,0.21999999999962655,0.15199999999946703,3.45,20.1,3.47,2.009999999995993,0.34000000000078767,0.13999999999985607,82,16.12,Excellent
Zhejiang,Ningbo,Ningbo_Station_8,43.90478,101.988752,2023-07-29,24.58,7.16,6.94,551.33,11.15,2.69,0.022000000000047124,0.4399999999986437,0.1339999999999515,2.87,18.16,5.27,4.4200000000103685,0.40938240616218874,0.11999999999952526,91,33.76,Moderate
Yunnan,Dali,Dali_Station_6,22.115434,109.771096,2023-05-07,19.19,7.2,11.77,517.46,2.26,1.99,0.0029999999999727224,0.29000000000034465,0.04999999999992937,3.05,17.84,3.34,5.0099999999959515,0.6000000000023419,0.09000000000032046,92,48.95,Excellent
Yunnan,Dali,Dali_Station_9,35.938674,106.044997,2023-12-12,25.71,7.38,9.58,409.06,2.29,2.7,0.03399999999996282,0.31999999999976914,0.10399999999962303,2.75,24.62,5.71,6.7499999999967395,0.5000000000012166,0.07999999999997212,91,17.44,Excellent
Jiangsu,Nanjing,Nanjing_Station_9,43.507463,100.585848,2023-03-02,15.4,7.77,6.43,467.79,12.93,1.82,0.025999999999959854,0.7100000000001603,0.1259999999996122,3.68,32.7,3.68,4.590000000001845,0.21000000000077768,0.16000000000012252,95,89.71,Good
Shandong,Jinan,Jinan_Station_4,36.336582,104.53814,2023-04-29,21.25,7.17,6.64,523.23,0.88,2.11,0.02800000000000493,0.5300000000001858,0.03899999999959422,3.52,26.63,4.73,3.0899999999930747,0.35000000000186804,0.03999999999988284,108,84.92,Moderate
Zhejiang,Ningbo,Ningbo_Station_1,44.548434,106.519985,2023-09-15,24.11,7.95,7.51,424.63,1.54,2.44,0.018000000000000727,0.739999999999094,0.1269999999997695,4.37,20.47,2.59,4.9300000000100725,0.3100000000012221,0.15000000000028213,96,92.83,Very Poor
Shandong,Qingdao,Qingdao_Station_9,30.253306,114.157183,2023-12-28,22.37,6.96,6.31,348.52,9.52,1.54,0.014999999999954971,0.6400000000000143,0.1049999999998943,3.32,28.81,4.23,3.3799999999930206,0.7100000000003172,0.0999999999999866,107,70.25,Moderate
Zhejiang,Ningbo,Ningbo_Station_7,25.694385,115.051176,2023-08-22,13.11,6.53,9.03,551.38,10.09,2.01,0.028999999999836934,0.7899999999992,0.10000000000012982,3.67,24.94,4.23,5.349999999999286,0.2699999999998426,0.019999999999980603,84,3.59,Excellent
Henan,Luoyang,Luoyang_Station_6,32.368152,115.077808,2023-10-21,31.57,6.07,9.37,338.73,0.15,1.55,0.01699999999997051,0.8099999999995996,0.10599999999979423,3.27,13.65,6.39,8.689999999991066,0.7700000000008075,0.14000000000011875,95,27.08,Moderate
Yunnan,Dali,Dali_Station_1,30.094647,108.685749,2023-04-28,16.04,6.94,9.01,586.58,2.63,1.83,0.016999999999955506,0.559999999999935,0.019000000000075026,3.47,26.33,4.38,8.299999999987074,0.230000000000942,0.1900000000000598,92,75.78,Very Poor
Zhejiang,Hangzhou,Hangzhou_Station_4,37.44114,101.120714,2023-03-07,22.22,7.39,6.15,494.05,3.38,1.35,0.018999999999992426,0.09999999999993142,0.03499999999998053,3.77,26.62,3.87,4.069999999990424,0.5100000000007326,0.22000000000009762,112,16.29,Poor
Zhejiang,Ningbo,Ningbo_Station_9,28.245944,106.644102,2023-09-16,21.0,6.7,8.14,461.47,14.09,1.05,0.03300000000002773,0.38000000000073814,0.20600000000006619,3.34,20.35,4.44,4.780000000001346,0.40000000000078856,0.11000000000019823,95,2.33,Moderate
Hubei,Yichang,Yichang_Station_7,43.396203,111.066512,2023-03-24,17.05,7.42,8.71,430.71,4.96,2.18,0.026000000000032414,0.36999999999941396,0.14399999999994348,3.28,16.45,2.21,2.5599999999995933,0.3700000000010425,0.1599999999998853,98,75.45,Moderate
Guangdong,Shenzhen,Shenzhen_Station_1,28.866637,118.733761,2023-04-09,26.53,7.01,9.36,468.97,2.46,1.86,0.013999999999969984,0.8799999999988253,0.1529999999998753,2.1,17.77,5.2,2.6100000000015147,0.6500000000007675,0.1300000000001333,109,49.44,Very Poor
Beijing,Beijing,Beijing_Station_5,34.324844,107.56774,2023-08-16,20.38,6.66,9.95,485.29,2.16,2.31,0.03399999999999426,0.40999999999949344,0.10999999999969784,3.28,24.36,5.15,4.050000000000887,0.3700000000008674,0.17000000000010898,83,55.84,Very Poor
Sichuan,Mianyang,Mianyang_Station_3,33.93337,105.833492,2023-11-01,24.29,6.92,7.96,399.75,0.06,1.66,0.019999999999956844,0.7500000000006081,0.13899999999999205,3.25,20.44,2.55,3.3099999999954477,0.4300000000010597,0.11999999999968075,127,96.99,Good
